ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
TESLA,-0.9566,,1,-0.9566,-0.9566,0.9566,0.0112,0.9566,0.0322,negative,2018-11-05,-1.4462615214999586
TESLA,0.0,0.0,3,0.0,0.0,0.8884,0.0347,0.0769,0.8884,neutral,2018-11-08,0.930604908804078
TESLA,-0.0573,1.2359,2,-0.9313,0.8166,0.8739,0.4231,0.4693,0.1076,negative,2018-11-15,1.2907039788430774
TESLA,0.0,,1,0.0,0.0,0.7814,0.2039,0.0147,0.7814,neutral,2018-11-16,1.6846485069498707
TESLA,0.0,,1,0.0,0.0,0.8348,0.1491,0.0161,0.8348,neutral,2018-11-19,-0.23707949075066903
TESLA,-0.7097,0.3467,2,-0.9549,-0.4645,0.7097,0.0645,0.7097,0.2259,negative,2018-11-27,-0.601162087941387
TESLA,-0.6096,,1,-0.6096,-0.6096,0.6096,0.0225,0.6096,0.3678,negative,2018-11-29,-1.9260070246266525
TESLA,0.6995,,1,0.6995,0.6995,0.6995,0.6995,0.0103,0.2903,positive,2018-11-30,2.7288440954263526
TESLA,0.0,,1,0.0,0.0,0.9219,0.0622,0.016,0.9219,neutral,2018-12-03,2.2854306277042546
TESLA,0.249,0.3522,2,0.0,0.4981,0.6679,0.3142,0.0225,0.6633,neutral,2018-12-06,0.9341156591416766
TESLA,0.0,,1,0.0,0.0,0.9062,0.0768,0.017,0.9062,neutral,2018-12-07,-1.4019689883274622
TESLA,-0.9587,,1,-0.9587,-0.9587,0.9587,0.0172,0.9587,0.0241,negative,2018-12-14,-2.9406295404663663
TESLA,0.0,,1,0.0,0.0,0.9201,0.0672,0.0127,0.9201,neutral,2018-12-27,-3.0543696163891743
TESLA,0.0,,1,0.0,0.0,0.9315,0.0423,0.0262,0.9315,neutral,2018-12-28,5.611616189772173
TESLA,0.0,,1,0.0,0.0,0.9317,0.034,0.0343,0.9317,neutral,2018-12-31,-0.32048222381534375
TESLA,-0.9621,,1,-0.9621,-0.9621,0.9621,0.0152,0.9621,0.0227,negative,2019-01-02,-6.814899980682931
TESLA,-0.8799,,1,-0.8799,-0.8799,0.8799,0.0296,0.8799,0.0905,negative,2019-01-03,-3.1471712665183227
TESLA,0.0,0.0,2,0.0,0.0,0.6613,0.3261,0.0125,0.6613,neutral,2019-01-04,5.76973909120706
TESLA,0.0,,1,0.0,0.0,0.6447,0.3383,0.017,0.6447,neutral,2019-01-07,5.436123871697496
TESLA,0.7475,,1,0.7475,0.7475,0.7475,0.7475,0.0287,0.2238,positive,2019-01-08,0.11642764023440666
TESLA,-0.9459,,1,-0.9459,-0.9459,0.9459,0.0134,0.9459,0.0407,negative,2019-01-09,0.9482625353500751
TESLA,0.0,,1,0.0,0.0,0.8589,0.1318,0.0094,0.8589,neutral,2019-01-11,0.6638316576923708
TESLA,-0.9365,,1,-0.9365,-0.9365,0.9365,0.0101,0.9365,0.0534,negative,2019-01-17,0.36410765019605495
TESLA,-0.9611,0.0096,2,-0.9679,-0.9544,0.9611,0.0122,0.9611,0.0267,negative,2019-01-18,-12.97111611448507
TESLA,0.0,0.0,3,0.0,0.0,0.6456,0.1674,0.187,0.6456,neutral,2019-01-22,-1.1050140026936717
TESLA,-0.9602,,1,-0.9602,-0.9602,0.9602,0.0096,0.9602,0.0302,negative,2019-01-23,-3.790309945117787
TESLA,-0.8958,0.0949,2,-0.9629,-0.8287,0.8958,0.0422,0.8958,0.062,negative,2019-01-28,-0.22219544588429896
TESLA,-0.9644,,1,-0.9644,-0.9644,0.9644,0.011,0.9644,0.0246,negative,2019-01-30,3.8021902704256094
TESLA,-0.5385,0.4684,3,-0.8516,0.0,0.8058,0.0645,0.5508,0.3847,negative,2019-01-31,-0.5667655087972956
TESLA,0.5365,,1,0.5365,0.5365,0.5365,0.5365,0.0105,0.453,positive,2019-02-01,1.6904375467739818
TESLA,0.0,0.0,2,0.0,0.0,0.8934,0.0964,0.0102,0.8934,neutral,2019-02-04,0.2178046704109926
TESLA,-0.9366,,1,-0.9366,-0.9366,0.9366,0.0109,0.9366,0.0525,negative,2019-02-05,2.7038217137097087
TESLA,-0.8884,,1,-0.8884,-0.8884,0.8884,0.0328,0.8884,0.0788,negative,2019-02-08,-0.5560810155770368
TESLA,0.0,,1,0.0,0.0,0.8693,0.1154,0.0153,0.8693,neutral,2019-02-11,2.302159754165345
TESLA,0.0,,1,0.0,0.0,0.5771,0.3994,0.0235,0.5771,neutral,2019-02-15,1.3529981687833148
TESLA,0.5701,,1,0.5701,0.5701,0.5701,0.5701,0.0099,0.4199,positive,2019-02-19,-0.7275592114103446
TESLA,-0.742,0.031,2,-0.7639,-0.7201,0.742,0.0147,0.742,0.2433,negative,2019-02-20,-1.0077140160173803
TESLA,-0.7343,,1,-0.7343,-0.7343,0.7343,0.025,0.7343,0.2408,negative,2019-02-21,-3.744719150082565
TESLA,0.0,,1,0.0,0.0,0.7035,0.2834,0.0131,0.7035,neutral,2019-02-22,1.1949336815981981
TESLA,-0.7821,0.1745,4,-0.8756,-0.5204,0.7821,0.0214,0.7821,0.1965,negative,2019-02-26,-0.30458399535449043
TESLA,0.0,0.0,2,0.0,0.0,0.7209,0.221,0.0581,0.7209,neutral,2019-02-27,5.667104122280353
TESLA,-0.6122,0.384,5,-0.9497,0.0,0.7946,0.0375,0.6148,0.3477,negative,2019-03-01,-7.843566043230532
TESLA,0.0,,1,0.0,0.0,0.9382,0.0498,0.0119,0.9382,neutral,2019-03-04,-3.198883658491347
TESLA,-0.3003,0.5201,3,-0.9009,0.0,0.8685,0.0856,0.319,0.5954,neutral,2019-03-05,-3.090829156245878
TESLA,0.0,,1,0.0,0.0,0.9363,0.0447,0.019,0.9363,neutral,2019-03-06,-0.10848588017886573
TESLA,0.9318,,1,0.9318,0.9318,0.9318,0.9318,0.0129,0.0554,positive,2019-03-07,0.12669741182240735
TESLA,0.0,,1,0.0,0.0,0.61,0.1063,0.2838,0.61,neutral,2019-03-11,2.3861458586003748
TESLA,-0.2149,0.3722,3,-0.6446,0.0,0.7195,0.0554,0.3281,0.6165,neutral,2019-03-12,-2.5986510550194186
TESLA,-0.5872,0.5097,3,-0.9155,0.0,0.9035,0.0376,0.5956,0.3669,negative,2019-03-14,0.34607328163371864
TESLA,-0.4768,0.6743,2,-0.9536,0.0,0.8951,0.0833,0.4833,0.4334,negative,2019-03-15,-5.011042604829264
TESLA,0.0,0.0,2,0.0,0.0,0.9299,0.0403,0.0297,0.9299,neutral,2019-03-20,2.291845522943481
